Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
EGF3710,E135/Q ,KTYR,Tyler Pounds Rgnl,"Tyler, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:01,7/11/13 0:25,0:24
AAL1288,B738/Q ,KSNA,John Wayne Arpt,"Santa Ana, CA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:01,7/11/13 2:34,2:33
EGF3293,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",MMTC,Torreon Int'l,"Torreon, Coahuila",7/11/13 0:01,7/11/13 1:28,1:27
AAL1568,MD83/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KDTW,Detroit Metro Wayne Co,"Detroit, MI",7/11/13 0:01,7/11/13 2:10,2:09
BAW192,B744/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",EGLL,London Heathrow,"London, England",7/11/13 0:02,7/11/13 8:22,8:20
AAL2347,MD80/Q ,KORD,Chicago O'Hare Intl,"Chicago, IL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:03,7/11/13 1:53,1:50
AAL570,MD83/Q ,KSLC,Salt Lake City Intl,"Salt Lake City, UT",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:04,7/11/13 2:13,2:09
EGF2980,E135/Q ,KCHS,Charleston Afb/Intl,"Charleston, SC",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:04,7/11/13 2:22,2:18
UPS2038,A306/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KEWR,Newark Liberty Intl,"Newark, NJ",7/11/13 0:04,7/11/13 3:13,3:09
EJA821,H25B/Q ,KLAS,McCarran Intl,"Las Vegas, NV",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:05,7/11/13 2:23,2:18
NKS857,A319/Q ,KBOS,Boston Logan Intl,"Boston, MA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:05,7/11/13 3:50,3:45
AAL654,MD83/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KJAX,Jacksonville Intl,"Jacksonville, FL",7/11/13 0:06,7/11/13 2:11,2:05
EGF2916,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KFWA,Fort Wayne Intl,"Fort Wayne, IN",7/11/13 0:07,7/11/13 2:02,1:55
AAL612,MD82/Q ,KMFE,Mc Allen Miller Intl,"Mc Allen, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:07,7/11/13 1:21,1:14
AAL1535,MD80/Q ,KMCI,Kansas City Intl,"Kansas City, MO",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:08,7/11/13 1:15,1:07
EGF3096,E145/Q ,KFSM,Fort Smith Rgnl,"Fort Smith, AR",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:09,7/11/13 0:48,0:39
AAL2043,B752/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KSEA,Seattle-Tacoma Intl,"Seattle, WA",7/11/13 0:10,7/11/13 3:50,3:40
NKS313,A319/Q ,KDTW,Detroit Metro Wayne Co,"Detroit, MI",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:10,7/11/13 2:30,2:20
AMF1791,BE99/A ,KPPA,Perry Lefors Field,"Pampa, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:12,7/11/13 1:31,1:19
AAL539,MD83/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KLAS,McCarran Intl,"Las Vegas, NV",7/11/13 0:13,7/11/13 2:28,2:15
AAL464,B752/Q ,KSAN,San Diego Intl,"San Diego, CA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:13,7/11/13 2:47,2:34
EGF2790,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KSAV,Savannah/Hilton Head Intl,"Savannah, GA",7/11/13 0:13,7/11/13 2:20,2:07
AAL1937,MD82/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KSLC,Salt Lake City Intl,"Salt Lake City, UT",7/11/13 0:14,7/11/13 2:24,2:10
EGF2940,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KCMI,Univ of IL - Willard,"Champaign/Urbana, IL",7/11/13 0:15,7/11/13 1:52,1:37
AAL1136,MD80/Q ,KAUS,Austin-Bergstrom Intl,"Austin, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:15,7/11/13 0:56,0:41
CPZ5851,E170/Q ,KLGA,LaGuardia,"New York, NY",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:16,7/11/13 3:37,3:21
ASQ2520,CRJ2/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KTYS,Mc Ghee Tyson,"Knoxville, TN",7/11/13 0:16,7/11/13 2:04,1:48
DAL707,MD88 ,KATL,Hartsfield-Jackson Intl,"Atlanta, GA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:16,7/11/13 1:52,1:36
SKW4967,CRJ7/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KIAH,Houston Bush Int'ctl,"Houston, TX",7/11/13 0:16,7/11/13 0:53,0:37
EGF2979,E145/Q ,KGRK,Robert Gray Aaf,"Fort Hood/Killeen, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:17,7/11/13 0:50,0:33
AAL1146,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KIAD,Washington Dulles Intl,"Washington, DC",7/11/13 0:18,7/11/13 3:01,2:43
EGF2925,E145/Q ,KMAF,Midland Intl,"Midland, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:19,7/11/13 1:11,0:52
EGF2907,E145/Q ,KCVG,N Kentucky Intl,"Covington, KY",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:19,7/11/13 2:23,2:04
SKW5167,CRJ7/Q ,KIAH,Houston Bush Int'ctl,"Houston, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:19,7/11/13 1:01,0:42
EGF2522,CRJ7 ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KSHV,Shreveport Rgnl,"Shreveport, LA",7/11/13 0:20,7/11/13 0:20,n/a
AAL1482,B738/Q ,KLAS,McCarran Intl,"Las Vegas, NV",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:21,7/11/13 2:35,2:14
ASQ2522,CRJ2/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KSHV,Shreveport Rgnl,"Shreveport, LA",7/11/13 0:21,7/11/13 0:59,0:38
AAL635,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KIAH,Houston Bush Int'ctl,"Houston, TX",7/11/13 0:22,7/11/13 1:00,0:38
AAL1560,MD82/Q ,KAUS,Austin-Bergstrom Intl,"Austin, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:22,7/11/13 1:00,0:38
AAL696,MD83/Q ,KELP,El Paso Intl,"El Paso, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:22,7/11/13 1:41,1:19
EGF3269,E145/Q ,KVPS,Eglin Afb,"Valparaiso, FL",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:22,7/11/13 1:55,1:33
EGF3418,E135/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KCID,The Eastern Iowa,"Cedar Rapids, IA",7/11/13 0:23,7/11/13 1:59,1:36
ASQ5147,CRJ9/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KMEM,Memphis Intl,"Memphis, TN",7/11/13 0:24,7/11/13 1:39,1:15
VRD882,A319/L ,KLAX,Los Angeles Intl,"Los Angeles, CA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:25,7/11/13 3:14,2:49
AAL1486,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KDCA,Reagan National,"Washington, DC",7/11/13 0:25,7/11/13 3:08,2:43
AAL1798,MD82/Q ,KOKC,Will Rogers World,"Oklahoma City, OK",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:27,7/11/13 1:01,0:34
AAL1228,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KMIA,Miami Intl,"Miami, FL",7/11/13 0:27,7/11/13 2:53,2:26
NKS108,A319/Q ,KSAN,San Diego Intl,"San Diego, CA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:27,7/11/13 3:06,2:39
AAL2462,B738/Q ,KLAX,Los Angeles Intl,"Los Angeles, CA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:27,7/11/13 3:09,2:42
CPZ5801,E170/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KLGA,LaGuardia,"New York, NY",7/11/13 0:28,7/11/13 3:43,3:15
EGF3303,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KGJT,Grand Junction Regional,"Grand Junction, CO",7/11/13 0:28,7/11/13 2:19,1:51
EGF2863,E135/Q ,KCRP,Corpus Christi Intl,"Corpus Christi, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:29,7/11/13 1:31,1:02
EGF2786,E135/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KJAN,Jackson-Evers Intl,"Jackson, MS",7/11/13 0:30,7/11/13 1:29,0:59
AAL2477,B752/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KLAX,Los Angeles Intl,"Los Angeles, CA",7/11/13 0:30,7/11/13 2:59,2:29
AAL1002,MD83/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KCMH,Port Columbus Intl,"Columbus, OH",7/11/13 0:31,7/11/13 2:30,1:59
EGF3360,E145/Q ,KOKC,Will Rogers World,"Oklahoma City, OK",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:31,7/11/13 1:04,0:33
EJA716,GALX/Q ,KTEB,Teterboro,"Teterboro, NJ",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:32,7/11/13 3:38,3:06
